4K超高清,#genre#
地理,http://920425.xyz:7788/udp/239.253.240.208:8000
鉴赏,http://920425.xyz:7788/udp/239.253.240.214:8000
国学,http://920425.xyz:7788/udp/239.253.240.215:8000
早教,http://920425.xyz:7788/udp/239.253.240.217:8000
好学生,http://920425.xyz:7788/udp/239.253.240.219:8000
墨宝,http://920425.xyz:7788/udp/239.253.240.222:8000
戏曲,http://920425.xyz:7788/udp/239.253.240.224:8000
爱生活,http://920425.xyz:7788/udp/239.253.240.225:8000
解密,http://920425.xyz:7788/udp/239.253.240.226:8000
武术,http://920425.xyz:7788/udp/239.253.240.227:8000
美妆,http://920425.xyz:7788/udp/239.253.240.228:8000
财富天下,http://920425.xyz:7788/udp/239.253.240.230:8000#http://920425.xyz:7788/udp/239.253.240.147:8000
收视指南,http://920425.xyz:7788/udp/239.253.240.124:8000
相声小品,http://920425.xyz:7788/udp/239.253.240.136:8000
魅力时尚,http://920425.xyz:7788/udp/239.253.240.130:8000
IPTV野外,http://920425.xyz:7788/udp/239.253.240.137:8000
IPTV法治,http://920425.xyz:7788/udp/239.253.240.138:8000
爱综艺,http://920425.xyz:7788/udp/239.253.240.129:8000
爱体育,http://920425.xyz:7788/udp/239.253.240.131:8000
四海钓鱼标清,http://920425.xyz:7788/udp/239.253.240.118:8000
环球旅游标清,http://920425.xyz:7788/udp/239.253.240.71:8000
车迷标清,http://920425.xyz:7788/udp/239.253.240.73:8000
中华特产标清,http://920425.xyz:7788/udp/239.253.240.76:8000
汽摩频道,http://920425.xyz:7788/udp/239.253.240.161:8000
海洋频道高清,http://920425.xyz:7788/udp/239.253.240.67:8000
生态环境,http://920425.xyz:7788/udp/239.253.240.119:8000#http://920425.xyz:7788/udp/239.253.240.75:8000
金色学堂高清,http://920425.xyz:7788/udp/239.253.240.101:8000
求索纪录,http://920425.xyz:7788/udp/239.253.240.231:8000
红色影院,http://920425.xyz:7788/udp/239.253.240.209:8000
美人,http://920425.xyz:7788/udp/239.253.240.213:8000
频道预览,http://920425.xyz:7788/udp/239.253.240.167:8000
历年春晚,#genre#
1983年春晚,http://txmov2.a.kwimgs.com/bs3/video-hls/5207287136834522947_hlshd15.m3u8
1984年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5229242184269609742_hlshd15.m3u8
1985年春晚,http://txmov2.a.kwimgs.com/bs3/video-hls/5227271857652377954_hlshd15.m3u8
1986年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5231493982164619599_hlshd15.m3u8
1987年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5195746663405928031_hlsb.m3u8
1988年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5216575810935394655_hlsb.m3u8
1989年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5194620763762726260_hlsb.m3u8
1992年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5256826755663896297_hlshd15.m3u8
1993年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5217420261875933947_hlshd15.m3u8
1994年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5197154061406974711_hlshd15.m3u8
1995年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5255137907893179578_hlshd15.m3u8
1996年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5202783562064785590_hlshd15.m3u8
1997年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5230649583590411879_hlshd15.m3u8
1998年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5225864507896315430_hlshd15.m3u8
1999年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5258234133675308186_hlshd15.m3u8
2000年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5216294359327079321_hlshd15.m3u8
2001年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5228960735897942616_hlshd15.m3u8
2002年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5255700858599864364_hlshd15.m3u8
2003年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5232338436280256836_hlshd15.m3u8
2004年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5223894184413450769_hlshd15.m3u8
2005年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5254012008863954469_hlshd15.m3u8
2006年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5194339310474320155_hlshd15.m3u8
2007年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5194902262344826321_hlshd15.m3u8
2008年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5210946337266019890_hlshd15.m3u8
2009年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5214042558858339330_hlshd15.m3u8
2010年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5210664862006975841_hlshd15.m3u8
2011年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5243597434070590481_hlshd15.m3u8
2012年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953534755647343_hlshd15.m3u8
2013年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5241627109089548390_hlshd15.m3u8
2014年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5245286283437869627_hlshd15.m3u8
2015年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5248101009010430183_hlshd15.m3u8
2016年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5238530884094441260_hlshd15.m3u8
2017年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5191524564569524830_hlshd15.m3u8
2018年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5212635188105848764_hlshd15.m3u8
2019年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5239093835831655107_hlshd15.m3u8
2020年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5222205336887088723_hlshd15.m3u8
2021年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5255700831151909807_hlshd15.m3u8
2022年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5224457109297710655_hlshd15.m3u8
2023年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5251197255879398624_hlshd15.m3u8
2024年春晚,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8
